[ 1862.476474] tgid, 2043, delta_vrun, 14306, delta_rrun, 14306, prio, 120
[ 1870.198411] tgid, 2043, delta_vrun, 13098, delta_rrun, 13098, prio, 120
[ 1870.315301] tgid, 2250, delta_vrun, 17084, delta_rrun, 17084, prio, 120
[ 1870.449233] tgid, 2043, delta_vrun, 8280, delta_rrun, 8280, prio, 120
[ 1870.915110] tgid, 2250, delta_vrun, 18357, delta_rrun, 18357, prio, 120
[ 1871.053870] tgid, 2250, delta_vrun, 19435, delta_rrun, 19435, prio, 120
[ 1871.107934] tgid, 2043, delta_vrun, 14689, delta_rrun, 14689, prio, 120
[ 1871.319307] tgid, 2250, delta_vrun, 39695, delta_rrun, 39695, prio, 120
[ 1871.654214] tgid, 2250, delta_vrun, 12533, delta_rrun, 12533, prio, 120
[ 1871.757529] tgid, 2043, delta_vrun, 33141, delta_rrun, 33141, prio, 120
[ 1872.084081] tgid, 2250, delta_vrun, 15244, delta_rrun, 15244, prio, 120
[ 1872.258264] tgid, 2250, delta_vrun, 91969, delta_rrun, 91969, prio, 120
[ 1872.265957] tgid, 1498, delta_vrun, 11059, delta_rrun, 11059, prio, 120
[ 1872.351500] tgid, 2582, delta_vrun, 4778, delta_rrun, 4778, prio, 120
[ 1872.392836] tgid, 2043, delta_vrun, 26376, delta_rrun, 26376, prio, 120
[ 1872.531241] tgid, 2043, delta_vrun, 54259, delta_rrun, 54259, prio, 120
[ 1872.669069] tgid, 1693, delta_vrun, 5834, delta_rrun, 5834, prio, 120
[ 1872.736612] tgid, 1693, delta_vrun, 4057, delta_rrun, 4057, prio, 120
[ 1872.752209] tgid, 2250, delta_vrun, 63472, delta_rrun, 63472, prio, 120
[ 1872.769739] tgid, 1693, delta_vrun, 906656, delta_rrun, 906656, prio, 120
[ 1872.803754] tgid, 1693, delta_vrun, 79069, delta_rrun, 79069, prio, 120
[ 1873.158275] tgid, 2043, delta_vrun, 58645, delta_rrun, 58645, prio, 89
[ 1873.164350] tgid, 2250, delta_vrun, 42241, delta_rrun, 42241, prio, 120
[ 1873.422978] tgid, 10, delta_vrun, 12479, delta_rrun, 12479, prio, 120
[ 1873.553817] tgid, 2250, delta_vrun, 4811, delta_rrun, 4811, prio, 120
[ 1873.578014] tgid, 2043, delta_vrun, 13535, delta_rrun, 13535, prio, 120
[ 1873.645125] tgid, 2043, delta_vrun, 790, delta_rrun, 790, prio, 120
[ 1873.756470] tgid, 2250, delta_vrun, 24461, delta_rrun, 24461, prio, 120
[ 1873.961821] tgid, 2250, delta_vrun, 6572, delta_rrun, 6572, prio, 120
[ 1873.991682] tgid, 1719, delta_vrun, 9484, delta_rrun, 110364, prio, 109
[ 1874.055378] tgid, 2582, delta_vrun, 46508, delta_rrun, 46508, prio, 120
[ 1874.092937] tgid, 2250, delta_vrun, 12183, delta_rrun, 12183, prio, 120
[ 1874.097940] tgid, 2250, delta_vrun, 28538, delta_rrun, 28538, prio, 120
[ 1874.165504] tgid, 1693, delta_vrun, 5428, delta_rrun, 5428, prio, 120
[ 1874.197646] tgid, 2043, delta_vrun, 58987, delta_rrun, 58987, prio, 120
[ 1874.291853] tgid, 2043, delta_vrun, 12243, delta_rrun, 12243, prio, 120
[ 1874.356019] tgid, 2250, delta_vrun, 3083, delta_rrun, 3083, prio, 120
[ 1874.420834] tgid, 2043, delta_vrun, 10392, delta_rrun, 10392, prio, 120
[ 1874.710917] tgid, 2043, delta_vrun, 21787, delta_rrun, 21787, prio, 120
[ 1874.755520] tgid, 2250, delta_vrun, 29020, delta_rrun, 29020, prio, 120
[ 1874.857662] tgid, 2250, delta_vrun, 82627, delta_rrun, 82627, prio, 89
[ 1875.096956] tgid, 2043, delta_vrun, 19023, delta_rrun, 19023, prio, 120
[ 1875.168479] tgid, 1693, delta_vrun, 3273, delta_rrun, 3273, prio, 120
[ 1875.321366] tgid, 2582, delta_vrun, 15538, delta_rrun, 15538, prio, 120
[ 1875.500502] tgid, 2250, delta_vrun, 7748, delta_rrun, 7748, prio, 120
[ 1875.893543] tgid, 2250, delta_vrun, 19628, delta_rrun, 19628, prio, 120
[ 1876.258042] tgid, 2250, delta_vrun, 13309, delta_rrun, 13309, prio, 120
[ 1876.297533] tgid, 2043, delta_vrun, 268934, delta_rrun, 268934, prio, 120
[ 1876.723418] tgid, 2582, delta_vrun, 11338, delta_rrun, 11338, prio, 120
[ 1876.857030] tgid, 2043, delta_vrun, 5052, delta_rrun, 5052, prio, 120
[ 1876.958553] tgid, 2250, delta_vrun, 26768, delta_rrun, 26768, prio, 120
[ 1876.959382] tgid, 2250, delta_vrun, 35766, delta_rrun, 35766, prio, 120
[ 1876.990430] tgid, 2250, delta_vrun, 17133, delta_rrun, 17133, prio, 120
[ 1877.496645] tgid, 1498, delta_vrun, 21962, delta_rrun, 21962, prio, 120
[ 1877.624378] tgid, 2250, delta_vrun, 10960, delta_rrun, 10960, prio, 120
[ 1877.663962] tgid, 1693, delta_vrun, 1832, delta_rrun, 1832, prio, 120
[ 1877.724075] tgid, 2582, delta_vrun, 20784, delta_rrun, 20784, prio, 120
[ 1877.857879] tgid, 2250, delta_vrun, 6156, delta_rrun, 6156, prio, 120
[ 1878.100981] tgid, 1693, delta_vrun, 386771, delta_rrun, 386771, prio, 120
[ 1878.109108] tgid, 2043, delta_vrun, 11103, delta_rrun, 11103, prio, 120
[ 1878.124183] tgid, 2043, delta_vrun, 7594, delta_rrun, 7594, prio, 120
[ 1878.231962] tgid, 1693, delta_vrun, 7558, delta_rrun, 7558, prio, 120
[ 1878.358220] tgid, 2250, delta_vrun, 17066, delta_rrun, 17066, prio, 120
[ 1878.431041] tgid, 1693, delta_vrun, 454713, delta_rrun, 454713, prio, 120
[ 1879.095577] tgid, 2250, delta_vrun, 38486, delta_rrun, 38486, prio, 120
[ 1879.422657] tgid, 2043, delta_vrun, 11630, delta_rrun, 11630, prio, 120
[ 1879.597926] tgid, 1693, delta_vrun, 2825, delta_rrun, 2825, prio, 120
[ 1879.691925] tgid, 2043, delta_vrun, 2656, delta_rrun, 2656, prio, 120
[ 1879.696555] tgid, 2043, delta_vrun, 49814, delta_rrun, 49814, prio, 120
[ 1879.758679] tgid, 2250, delta_vrun, 9751, delta_rrun, 9751, prio, 120
[ 1879.758975] tgid, 2043, delta_vrun, 98840, delta_rrun, 98840, prio, 120
[ 1879.760270] tgid, 2250, delta_vrun, 19389, delta_rrun, 19389, prio, 120
[ 1879.957776] tgid, 2250, delta_vrun, 8244, delta_rrun, 8244, prio, 120
[ 1880.289549] tgid, 2250, delta_vrun, 27877, delta_rrun, 27877, prio, 120
[ 1880.489390] tgid, 2250, delta_vrun, 4443, delta_rrun, 4443, prio, 120
[ 1880.593855] tgid, 2250, delta_vrun, 6453, delta_rrun, 6453, prio, 120
[ 1880.727190] tgid, 2250, delta_vrun, 19700, delta_rrun, 19700, prio, 120
[ 1881.149379] tgid, 1693, delta_vrun, 1309, delta_rrun, 1309, prio, 120
[ 1881.154382] tgid, 1719, delta_vrun, 47193, delta_rrun, 47193, prio, 94
[ 1881.959885] tgid, 2250, delta_vrun, 781403, delta_rrun, 781403, prio, 120
[ 1881.987036] tgid, 2043, delta_vrun, 21678, delta_rrun, 21678, prio, 120
[ 1882.132813] tgid, 2250, delta_vrun, 2772, delta_rrun, 2772, prio, 120
[ 1882.219125] tgid, 10, delta_vrun, 31290, delta_rrun, 31290, prio, 120
[ 1882.223451] tgid, 2043, delta_vrun, 17278, delta_rrun, 17278, prio, 120
[ 1882.257407] tgid, 2250, delta_vrun, 4955, delta_rrun, 4955, prio, 120
[ 1882.498006] tgid, 2250, delta_vrun, 44330, delta_rrun, 44330, prio, 120
[ 1882.601648] tgid, 2250, delta_vrun, 12988, delta_rrun, 12988, prio, 120
[ 1882.687040] tgid, 2250, delta_vrun, 4313, delta_rrun, 4313, prio, 120
[ 1882.753527] tgid, 2043, delta_vrun, 20533, delta_rrun, 20533, prio, 120
[ 1882.911877] tgid, 1498, delta_vrun, 34686, delta_rrun, 34686, prio, 120
[ 1883.157714] tgid, 1693, delta_vrun, 1264, delta_rrun, 1264, prio, 120
[ 1883.211091] tgid, 2582, delta_vrun, 22054, delta_rrun, 22054, prio, 120
[ 1883.263198] tgid, 2582, delta_vrun, 29204, delta_rrun, 29204, prio, 120
[ 1883.821906] tgid, 2043, delta_vrun, 142028, delta_rrun, 142028, prio, 120
[ 1883.824390] tgid, 1693, delta_vrun, 15172, delta_rrun, 15172, prio, 120
[ 1883.914873] tgid, 1693, delta_vrun, 1066835, delta_rrun, 1066835, prio, 120
[ 1884.095742] tgid, 2250, delta_vrun, 43678, delta_rrun, 43678, prio, 120
[ 1884.255974] tgid, 2043, delta_vrun, 257851, delta_rrun, 257851, prio, 120
[ 1884.290019] tgid, 1693, delta_vrun, 10395, delta_rrun, 10395, prio, 120
[ 1884.385523] tgid, 2043, delta_vrun, 58645, delta_rrun, 58645, prio, 89
[ 1884.470304] tgid, 2582, delta_vrun, 48558, delta_rrun, 48558, prio, 120
[ 1884.580357] tgid, 2043, delta_vrun, 22367, delta_rrun, 22367, prio, 120
[ 1884.885839] tgid, 2250, delta_vrun, 49297, delta_rrun, 49297, prio, 120
[ 1884.989790] tgid, 2043, delta_vrun, 7891, delta_rrun, 7891, prio, 120
[ 1885.116468] tgid, 1693, delta_vrun, 1548, delta_rrun, 1548, prio, 120
[ 1885.300038] tgid, 2250, delta_vrun, 36394, delta_rrun, 36394, prio, 120
[ 1885.353880] tgid, 2250, delta_vrun, 22683, delta_rrun, 22683, prio, 120
[ 1885.465218] tgid, 2582, delta_vrun, 258889, delta_rrun, 258889, prio, 120
[ 1886.005148] tgid, 2250, delta_vrun, 9991, delta_rrun, 9991, prio, 120
[ 1886.199639] tgid, 2043, delta_vrun, 6361, delta_rrun, 6361, prio, 120
[ 1886.351798] tgid, 2043, delta_vrun, 1426, delta_rrun, 1426, prio, 120
[ 1886.412188] tgid, 1693, delta_vrun, 1148662, delta_rrun, 1148662, prio, 120
[ 1886.442679] tgid, 2582, delta_vrun, 506635, delta_rrun, 506635, prio, 120
[ 1886.452112] tgid, 2250, delta_vrun, 32483, delta_rrun, 32483, prio, 120
[ 1886.737578] tgid, 2250, delta_vrun, 7358, delta_rrun, 7358, prio, 120
[ 1886.751706] tgid, 2250, delta_vrun, 5504, delta_rrun, 5504, prio, 120
[ 1886.918039] tgid, 1719, delta_vrun, 808, delta_rrun, 9414, prio, 109
[ 1887.051301] tgid, 2250, delta_vrun, 35849, delta_rrun, 35849, prio, 120
[ 1887.119052] tgid, 2043, delta_vrun, 31571, delta_rrun, 31571, prio, 120
[ 1887.171622] tgid, 2582, delta_vrun, 43292, delta_rrun, 43292, prio, 120
[ 1887.302860] tgid, 2250, delta_vrun, 13353, delta_rrun, 13353, prio, 120
[ 1887.573966] tgid, 1498, delta_vrun, 23962, delta_rrun, 23962, prio, 120
[ 1888.001526] tgid, 2250, delta_vrun, 24758, delta_rrun, 24758, prio, 120
[ 1888.003439] tgid, 2043, delta_vrun, 196399, delta_rrun, 196399, prio, 120
[ 1888.102802] tgid, 2043, delta_vrun, 1166, delta_rrun, 1166, prio, 120
[ 1888.156087] tgid, 2250, delta_vrun, 40467, delta_rrun, 40467, prio, 120
[ 1888.403804] tgid, 2250, delta_vrun, 4210, delta_rrun, 4210, prio, 120
[ 1888.444526] tgid, 1693, delta_vrun, 4128, delta_rrun, 4128, prio, 120
[ 1888.673114] tgid, 2582, delta_vrun, 3855, delta_rrun, 3855, prio, 120
[ 1888.768472] tgid, 2250, delta_vrun, 27972, delta_rrun, 27972, prio, 120
[ 1888.808401] tgid, 2250, delta_vrun, 7700, delta_rrun, 7700, prio, 120
[ 1888.872436] tgid, 1693, delta_vrun, 117975, delta_rrun, 117975, prio, 120
[ 1889.034950] tgid, 2250, delta_vrun, 11592, delta_rrun, 11592, prio, 120
[ 1889.116989] tgid, 2250, delta_vrun, 3274, delta_rrun, 3274, prio, 120
[ 1889.144221] tgid, 1693, delta_vrun, 577498, delta_rrun, 577498, prio, 120
[ 1889.149544] tgid, 2250, delta_vrun, 9572, delta_rrun, 9572, prio, 120
[ 1889.209144] tgid, 1693, delta_vrun, 5247, delta_rrun, 5247, prio, 120
[ 1889.439471] tgid, 2043, delta_vrun, 107572, delta_rrun, 107572, prio, 120
[ 1889.716526] tgid, 2043, delta_vrun, 6513, delta_rrun, 6513, prio, 120
[ 1889.903151] tgid, 2250, delta_vrun, 31846, delta_rrun, 31846, prio, 120
[ 1890.103987] tgid, 2582, delta_vrun, 336780, delta_rrun, 336780, prio, 120
[ 1890.139787] tgid, 2043, delta_vrun, 34609, delta_rrun, 34609, prio, 120
[ 1890.200037] tgid, 2043, delta_vrun, 21023, delta_rrun, 21023, prio, 120
[ 1890.216309] tgid, 2043, delta_vrun, 9984, delta_rrun, 9984, prio, 120
[ 1890.606982] tgid, 2250, delta_vrun, 4389, delta_rrun, 4389, prio, 120
[ 1890.622804] tgid, 2043, delta_vrun, 1455, delta_rrun, 1455, prio, 120
[ 1890.846516] tgid, 1637, delta_vrun, 20959, delta_rrun, 20959, prio, 120
[ 1890.909300] tgid, 1693, delta_vrun, 3202, delta_rrun, 3202, prio, 120
[ 1890.972331] tgid, 2250, delta_vrun, 42756, delta_rrun, 42756, prio, 120
[ 1891.156269] tgid, 1693, delta_vrun, 1506, delta_rrun, 1506, prio, 120
[ 1891.250239] tgid, 10, delta_vrun, 19388, delta_rrun, 19388, prio, 120
[ 1891.306971] tgid, 2250, delta_vrun, 33615, delta_rrun, 33615, prio, 120
[ 1891.372557] tgid, 2043, delta_vrun, 315188, delta_rrun, 315188, prio, 120
[ 1891.506415] tgid, 2250, delta_vrun, 28270, delta_rrun, 28270, prio, 120
[ 1891.708757] tgid, 2250, delta_vrun, 549802, delta_rrun, 549802, prio, 120
[ 1892.319344] tgid, 2043, delta_vrun, 48520, delta_rrun, 48520, prio, 120
[ 1893.075606] tgid, 2250, delta_vrun, 18315, delta_rrun, 18315, prio, 120
[ 1893.124291] tgid, 1498, delta_vrun, 285706, delta_rrun, 285706, prio, 120
[ 1893.380590] tgid, 2250, delta_vrun, 15812, delta_rrun, 15812, prio, 120
[ 1893.383701] tgid, 2250, delta_vrun, 12533, delta_rrun, 12533, prio, 120
[ 1893.449088] tgid, 2250, delta_vrun, 58592, delta_rrun, 58592, prio, 120
[ 1893.487041] tgid, 1693, delta_vrun, 2631, delta_rrun, 2631, prio, 120
[ 1893.550348] tgid, 2250, delta_vrun, 3898, delta_rrun, 3898, prio, 120
[ 1893.819564] tgid, 2250, delta_vrun, 30087, delta_rrun, 30087, prio, 120
[ 1893.890416] tgid, 1693, delta_vrun, 35163, delta_rrun, 35163, prio, 120
[ 1893.949675] tgid, 2043, delta_vrun, 6406, delta_rrun, 6406, prio, 120
[ 1894.118746] tgid, 2582, delta_vrun, 63637, delta_rrun, 63637, prio, 120
[ 1894.313158] tgid, 2043, delta_vrun, 42501, delta_rrun, 42501, prio, 120
[ 1894.356860] tgid, 1693, delta_vrun, 17193, delta_rrun, 17193, prio, 120
[ 1894.714626] tgid, 2250, delta_vrun, 42675, delta_rrun, 42675, prio, 120
[ 1894.911296] tgid, 2043, delta_vrun, 138618, delta_rrun, 138618, prio, 120
[ 1894.947294] tgid, 2582, delta_vrun, 7005, delta_rrun, 7005, prio, 120
[ 1895.020561] tgid, 2043, delta_vrun, 1376, delta_rrun, 1376, prio, 120
[ 1895.115358] tgid, 2043, delta_vrun, 1761, delta_rrun, 1761, prio, 120
[ 1895.174410] tgid, 2043, delta_vrun, 6469, delta_rrun, 6469, prio, 120
[ 1895.213719] tgid, 2043, delta_vrun, 62977, delta_rrun, 62977, prio, 120
[ 1895.484440] tgid, 1693, delta_vrun, 5055, delta_rrun, 5055, prio, 120
[ 1895.512164] tgid, 2043, delta_vrun, 58645, delta_rrun, 58645, prio, 89
[ 1895.549924] tgid, 2043, delta_vrun, 367498, delta_rrun, 367498, prio, 120
[ 1895.578346] tgid, 2250, delta_vrun, 33568, delta_rrun, 33568, prio, 120
[ 1895.581192] tgid, 2043, delta_vrun, 738, delta_rrun, 738, prio, 120
[ 1895.707068] tgid, 2250, delta_vrun, 48428, delta_rrun, 48428, prio, 120
[ 1895.841555] tgid, 2582, delta_vrun, 9514, delta_rrun, 9514, prio, 120
[ 1896.029584] tgid, 1693, delta_vrun, 2048, delta_rrun, 2048, prio, 120
[ 1896.778757] tgid, 2250, delta_vrun, 38513, delta_rrun, 38513, prio, 120
[ 1896.822133] tgid, 1693, delta_vrun, 7776, delta_rrun, 7776, prio, 120
[ 1896.877050] tgid, 2250, delta_vrun, 136253, delta_rrun, 136253, prio, 120
[ 1897.107785] tgid, 2250, delta_vrun, 4760, delta_rrun, 4760, prio, 120
[ 1897.447491] tgid, 2043, delta_vrun, 23185, delta_rrun, 23185, prio, 120
[ 1897.455325] tgid, 1498, delta_vrun, 329097, delta_rrun, 329097, prio, 120
[ 1897.577583] tgid, 2582, delta_vrun, 21997, delta_rrun, 21997, prio, 120
[ 1897.641478] tgid, 2250, delta_vrun, 2369, delta_rrun, 2369, prio, 120
[ 1897.643859] tgid, 1719, delta_vrun, 47193, delta_rrun, 47193, prio, 94
[ 1897.745652] tgid, 2250, delta_vrun, 4147, delta_rrun, 4147, prio, 120
[ 1897.919643] tgid, 2250, delta_vrun, 20382, delta_rrun, 20382, prio, 120
[ 1897.979618] tgid, 2043, delta_vrun, 54983, delta_rrun, 54983, prio, 120
[ 1898.277920] tgid, 2250, delta_vrun, 7062, delta_rrun, 7062, prio, 120
[ 1898.717412] tgid, 1693, delta_vrun, 3082, delta_rrun, 3082, prio, 120
[ 1898.910743] tgid, 2250, delta_vrun, 2635, delta_rrun, 2635, prio, 120
[ 1899.113390] tgid, 2250, delta_vrun, 17831, delta_rrun, 17831, prio, 120
[ 1899.279594] tgid, 2043, delta_vrun, 4655, delta_rrun, 4655, prio, 120
[ 1899.284131] tgid, 1693, delta_vrun, 1668, delta_rrun, 1668, prio, 120
[ 1899.582694] tgid, 2250, delta_vrun, 13934, delta_rrun, 13934, prio, 120
[ 1899.717489] tgid, 1719, delta_vrun, 792, delta_rrun, 9226, prio, 109
[ 1899.719487] tgid, 2582, delta_vrun, 20842, delta_rrun, 20842, prio, 120
[ 1899.722190] tgid, 2250, delta_vrun, 23294, delta_rrun, 23294, prio, 120
[ 1899.816425] tgid, 2250, delta_vrun, 32890, delta_rrun, 32890, prio, 120
[ 1899.912653] tgid, 2250, delta_vrun, 5650, delta_rrun, 5650, prio, 120
[ 1899.919067] tgid, 1693, delta_vrun, 11635, delta_rrun, 11635, prio, 120
[ 1900.006941] tgid, 10, delta_vrun, 6807, delta_rrun, 6807, prio, 120
[ 1900.011632] tgid, 2250, delta_vrun, 14354, delta_rrun, 14354, prio, 120
[ 1900.044767] tgid, 2043, delta_vrun, 14598, delta_rrun, 14598, prio, 120
[ 1900.546793] tgid, 2043, delta_vrun, 21947, delta_rrun, 21947, prio, 120
[ 1900.849814] tgid, 2250, delta_vrun, 4278, delta_rrun, 4278, prio, 120
[ 1901.247502] tgid, 1693, delta_vrun, 112390, delta_rrun, 112390, prio, 120
[ 1901.314650] tgid, 2250, delta_vrun, 21807, delta_rrun, 21807, prio, 120
[ 1901.508801] tgid, 1693, delta_vrun, 5620, delta_rrun, 5620, prio, 120
[ 1901.549046] tgid, 2250, delta_vrun, 19266, delta_rrun, 19266, prio, 120
[ 1901.844530] tgid, 2043, delta_vrun, 58855, delta_rrun, 58855, prio, 120
[ 1901.869964] tgid, 2043, delta_vrun, 14327, delta_rrun, 14327, prio, 120
[ 1902.010217] tgid, 2250, delta_vrun, 23876, delta_rrun, 23876, prio, 120
[ 1902.168808] tgid, 1693, delta_vrun, 31624, delta_rrun, 31624, prio, 120
[ 1902.182363] tgid, 2250, delta_vrun, 31471, delta_rrun, 31471, prio, 120
[ 1902.342186] tgid, 2250, delta_vrun, 57894, delta_rrun, 57894, prio, 120
[ 1902.535823] tgid, 1498, delta_vrun, 345444, delta_rrun, 345444, prio, 120
[ 1902.591121] tgid, 2250, delta_vrun, 37502, delta_rrun, 37502, prio, 120
[ 1902.591302] tgid, 2043, delta_vrun, 42750, delta_rrun, 42750, prio, 120
[ 1902.665370] tgid, 2043, delta_vrun, 57269, delta_rrun, 57269, prio, 120
[ 1903.310193] tgid, 2043, delta_vrun, 912, delta_rrun, 912, prio, 120
[ 1903.343784] tgid, 2043, delta_vrun, 827, delta_rrun, 827, prio, 120
[ 1903.462015] tgid, 2043, delta_vrun, 2137, delta_rrun, 2137, prio, 120
[ 1903.583758] tgid, 2250, delta_vrun, 5328, delta_rrun, 5328, prio, 120
[ 1903.718717] tgid, 2250, delta_vrun, 20054, delta_rrun, 20054, prio, 120
[ 1904.173589] tgid, 2250, delta_vrun, 14587, delta_rrun, 14587, prio, 120
[ 1904.202154] tgid, 1693, delta_vrun, 1449, delta_rrun, 1449, prio, 120
[ 1904.284304] tgid, 2250, delta_vrun, 30732, delta_rrun, 30732, prio, 120
[ 1904.508268] tgid, 2582, delta_vrun, 135084, delta_rrun, 135084, prio, 120
[ 1904.664676] tgid, 1693, delta_vrun, 2177, delta_rrun, 2177, prio, 120
[ 1904.684346] tgid, 2250, delta_vrun, 31139, delta_rrun, 31139, prio, 120
[ 1904.853530] tgid, 2582, delta_vrun, 5993, delta_rrun, 5993, prio, 120
[ 1904.855593] tgid, 933, delta_vrun, 5340, delta_rrun, 5340, prio, 120
[ 1904.966756] tgid, 1693, delta_vrun, 271611, delta_rrun, 271611, prio, 120
[ 1905.018502] tgid, 2582, delta_vrun, 13967, delta_rrun, 13967, prio, 120
[ 1905.147321] tgid, 2043, delta_vrun, 6011, delta_rrun, 6011, prio, 120
[ 1905.305996] tgid, 2043, delta_vrun, 31990, delta_rrun, 31990, prio, 120
[ 1905.373784] tgid, 2250, delta_vrun, 3421, delta_rrun, 3421, prio, 120
[ 1905.603408] tgid, 2043, delta_vrun, 5836, delta_rrun, 5836, prio, 120
[ 1905.693443] tgid, 2043, delta_vrun, 24068, delta_rrun, 24068, prio, 120
[ 1906.023132] tgid, 2250, delta_vrun, 14992, delta_rrun, 14992, prio, 120
[ 1906.276029] tgid, 2250, delta_vrun, 7390, delta_rrun, 7390, prio, 120
[ 1906.307645] tgid, 2250, delta_vrun, 6148, delta_rrun, 6148, prio, 120
[ 1906.453929] tgid, 2250, delta_vrun, 4298, delta_rrun, 4298, prio, 120
[ 1906.467002] tgid, 1693, delta_vrun, 6294, delta_rrun, 6294, prio, 120
[ 1906.621535] tgid, 2250, delta_vrun, 40675, delta_rrun, 40675, prio, 120
[ 1906.638877] tgid, 2043, delta_vrun, 58645, delta_rrun, 58645, prio, 89
[ 1906.692638] tgid, 2043, delta_vrun, 36115, delta_rrun, 36115, prio, 120
[ 1907.004732] tgid, 2250, delta_vrun, 82627, delta_rrun, 82627, prio, 89
[ 1907.198514] tgid, 1693, delta_vrun, 262529, delta_rrun, 262529, prio, 120
[ 1907.365918] tgid, 1693, delta_vrun, 98396, delta_rrun, 98396, prio, 120
