[ 4811.644496] tgid, 2043, delta_vrun, 2134, delta_rrun, 19904, prio, 110
[ 4816.981727] tgid, 2250, delta_vrun, 61610, delta_rrun, 61610, prio, 120
[ 4817.042521] tgid, 1693, delta_vrun, 2046, delta_rrun, 2046, prio, 120
[ 4817.184659] tgid, 2250, delta_vrun, 9296, delta_rrun, 9296, prio, 120
[ 4817.408222] tgid, 2043, delta_vrun, 471, delta_rrun, 4397, prio, 110
[ 4817.575921] tgid, 2250, delta_vrun, 20917, delta_rrun, 20917, prio, 120
[ 4817.634089] tgid, 1498, delta_vrun, 56547, delta_rrun, 56547, prio, 120
[ 4817.740438] tgid, 2250, delta_vrun, 38092, delta_rrun, 38092, prio, 120
[ 4817.810216] tgid, 10, delta_vrun, 4627, delta_rrun, 4627, prio, 120
[ 4817.971410] tgid, 1693, delta_vrun, 4155, delta_rrun, 4155, prio, 120
[ 4817.979449] tgid, 1693, delta_vrun, 3307, delta_rrun, 3307, prio, 120
[ 4818.119619] tgid, 1693, delta_vrun, 1209240, delta_rrun, 1209240, prio, 120
[ 4818.174799] tgid, 2250, delta_vrun, 3117, delta_rrun, 3117, prio, 120
[ 4818.561835] tgid, 2250, delta_vrun, 46383, delta_rrun, 46383, prio, 120
[ 4818.623442] tgid, 2250, delta_vrun, 7946, delta_rrun, 7946, prio, 120
[ 4818.641236] tgid, 1693, delta_vrun, 29295, delta_rrun, 29295, prio, 120
[ 4818.641560] tgid, 2250, delta_vrun, 30078, delta_rrun, 30078, prio, 120
[ 4818.700470] tgid, 2043, delta_vrun, 8768, delta_rrun, 81756, prio, 110
[ 4818.940933] tgid, 2250, delta_vrun, 5356, delta_rrun, 5356, prio, 120
[ 4819.421773] tgid, 2250, delta_vrun, 55802, delta_rrun, 55802, prio, 120
[ 4819.622850] tgid, 2250, delta_vrun, 208936, delta_rrun, 208936, prio, 120
[ 4819.661804] tgid, 2582, delta_vrun, 16279, delta_rrun, 16279, prio, 120
[ 4819.710982] tgid, 2582, delta_vrun, 11711, delta_rrun, 11711, prio, 120
[ 4819.712492] tgid, 1693, delta_vrun, 384799, delta_rrun, 384799, prio, 120
[ 4819.797496] tgid, 2250, delta_vrun, 5850, delta_rrun, 5850, prio, 120
[ 4819.926348] tgid, 2043, delta_vrun, 169959, delta_rrun, 1584744, prio, 110
[ 4819.954783] tgid, 2043, delta_vrun, 522, delta_rrun, 4869, prio, 110
[ 4819.958765] tgid, 2250, delta_vrun, 131468, delta_rrun, 131468, prio, 120
[ 4820.039954] tgid, 2043, delta_vrun, 5041, delta_rrun, 47011, prio, 110
[ 4820.278385] tgid, 2043, delta_vrun, 335, delta_rrun, 3125, prio, 110
[ 4820.278699] tgid, 2582, delta_vrun, 18660, delta_rrun, 18660, prio, 120
[ 4820.396320] tgid, 2250, delta_vrun, 20334, delta_rrun, 20334, prio, 120
[ 4820.829197] tgid, 2043, delta_vrun, 5093, delta_rrun, 47494, prio, 110
[ 4821.227500] tgid, 2250, delta_vrun, 3566, delta_rrun, 3566, prio, 120
[ 4821.739022] tgid, 2250, delta_vrun, 6203, delta_rrun, 6203, prio, 120
[ 4821.805901] tgid, 1719, delta_vrun, 1866, delta_rrun, 21716, prio, 109
[ 4821.928510] tgid, 1498, delta_vrun, 25378, delta_rrun, 25378, prio, 120
[ 4822.093417] tgid, 2250, delta_vrun, 8614, delta_rrun, 8614, prio, 120
[ 4822.125555] tgid, 2043, delta_vrun, 8997, delta_rrun, 83893, prio, 110
[ 4822.239487] tgid, 1693, delta_vrun, 5077, delta_rrun, 5077, prio, 120
[ 4822.293516] tgid, 2250, delta_vrun, 5947, delta_rrun, 5947, prio, 120
[ 4822.471623] tgid, 2043, delta_vrun, 425, delta_rrun, 3969, prio, 110
[ 4822.531524] tgid, 1693, delta_vrun, 3449, delta_rrun, 3449, prio, 120
[ 4822.597310] tgid, 1693, delta_vrun, 2492, delta_rrun, 2492, prio, 120
[ 4822.686030] tgid, 1693, delta_vrun, 1190, delta_rrun, 1190, prio, 120
[ 4822.872629] tgid, 2250, delta_vrun, 20606, delta_rrun, 20606, prio, 120
[ 4822.933540] tgid, 2250, delta_vrun, 2773, delta_rrun, 2773, prio, 120
[ 4823.105441] tgid, 2043, delta_vrun, 5180, delta_rrun, 48304, prio, 110
[ 4823.496491] tgid, 2250, delta_vrun, 5842, delta_rrun, 5842, prio, 120
[ 4823.732349] tgid, 1693, delta_vrun, 1501, delta_rrun, 1501, prio, 120
[ 4824.504775] tgid, 2250, delta_vrun, 18736, delta_rrun, 18736, prio, 120
[ 4824.807529] tgid, 2043, delta_vrun, 224, delta_rrun, 2095, prio, 110
[ 4824.861936] tgid, 2043, delta_vrun, 4125, delta_rrun, 38467, prio, 110
[ 4824.965322] tgid, 2250, delta_vrun, 3835, delta_rrun, 3835, prio, 120
[ 4825.003860] tgid, 2043, delta_vrun, 2713, delta_rrun, 25305, prio, 110
[ 4825.018729] tgid, 2250, delta_vrun, 36126, delta_rrun, 36126, prio, 120
[ 4825.165886] tgid, 2250, delta_vrun, 4936, delta_rrun, 4936, prio, 120
[ 4825.330901] tgid, 2582, delta_vrun, 24378, delta_rrun, 24378, prio, 120
[ 4825.441485] tgid, 2043, delta_vrun, 1422, delta_rrun, 13260, prio, 110
[ 4825.465343] tgid, 2250, delta_vrun, 35095, delta_rrun, 35095, prio, 120
[ 4825.695405] tgid, 2250, delta_vrun, 13255, delta_rrun, 13255, prio, 120
[ 4825.697260] tgid, 2250, delta_vrun, 41295, delta_rrun, 41295, prio, 120
[ 4825.995659] tgid, 2250, delta_vrun, 12233, delta_rrun, 12233, prio, 120
[ 4826.198369] tgid, 2582, delta_vrun, 858094, delta_rrun, 858094, prio, 120
[ 4826.219659] tgid, 2043, delta_vrun, 6818, delta_rrun, 63580, prio, 110
[ 4826.280989] tgid, 1693, delta_vrun, 25264, delta_rrun, 25264, prio, 120
[ 4826.374353] tgid, 2043, delta_vrun, 2367, delta_rrun, 22076, prio, 110
[ 4826.429665] tgid, 2250, delta_vrun, 35797, delta_rrun, 35797, prio, 120
[ 4826.675722] tgid, 1498, delta_vrun, 9256, delta_rrun, 9256, prio, 120
[ 4826.722479] tgid, 10, delta_vrun, 20601, delta_rrun, 20601, prio, 120
[ 4827.105301] tgid, 2250, delta_vrun, 80575, delta_rrun, 80575, prio, 120
[ 4827.410677] tgid, 1693, delta_vrun, 9976, delta_rrun, 9976, prio, 120
[ 4827.497856] tgid, 2250, delta_vrun, 37269, delta_rrun, 37269, prio, 120
[ 4827.531751] tgid, 2043, delta_vrun, 4592, delta_rrun, 42823, prio, 110
[ 4827.663327] tgid, 2250, delta_vrun, 27028, delta_rrun, 27028, prio, 120
[ 4827.711712] tgid, 2250, delta_vrun, 7398, delta_rrun, 7398, prio, 120
[ 4827.763018] tgid, 2250, delta_vrun, 8874, delta_rrun, 8874, prio, 120
[ 4827.800958] tgid, 2043, delta_vrun, 58645, delta_rrun, 58645, prio, 89
[ 4827.848056] tgid, 1693, delta_vrun, 3679, delta_rrun, 3679, prio, 120
[ 4827.867031] tgid, 2250, delta_vrun, 5828, delta_rrun, 5828, prio, 120
[ 4827.884955] tgid, 2582, delta_vrun, 41763, delta_rrun, 41763, prio, 120
[ 4827.889366] tgid, 1693, delta_vrun, 315941, delta_rrun, 315941, prio, 120
[ 4828.142024] tgid, 2250, delta_vrun, 25660, delta_rrun, 25660, prio, 120
[ 4828.164434] tgid, 2250, delta_vrun, 108306, delta_rrun, 108306, prio, 120
[ 4828.873671] tgid, 1693, delta_vrun, 3660, delta_rrun, 3660, prio, 120
[ 4828.923092] tgid, 2250, delta_vrun, 84923, delta_rrun, 84923, prio, 120
[ 4829.064267] tgid, 2043, delta_vrun, 2695, delta_rrun, 25138, prio, 110
[ 4829.341749] tgid, 1693, delta_vrun, 3356, delta_rrun, 3356, prio, 120
[ 4829.541683] tgid, 2250, delta_vrun, 21096, delta_rrun, 21096, prio, 120
[ 4829.771304] tgid, 2043, delta_vrun, 1574, delta_rrun, 14683, prio, 110
[ 4829.801661] tgid, 2582, delta_vrun, 40785, delta_rrun, 40785, prio, 120
[ 4829.868670] tgid, 2043, delta_vrun, 3491, delta_rrun, 32559, prio, 110
[ 4830.100047] tgid, 2043, delta_vrun, 3337, delta_rrun, 31115, prio, 110
[ 4830.100712] tgid, 2582, delta_vrun, 7145, delta_rrun, 7145, prio, 120
[ 4830.302694] tgid, 2582, delta_vrun, 75466, delta_rrun, 75466, prio, 120
[ 4830.401103] tgid, 2250, delta_vrun, 82627, delta_rrun, 82627, prio, 89
[ 4830.735550] tgid, 2250, delta_vrun, 28375, delta_rrun, 28375, prio, 120
[ 4830.737706] tgid, 2582, delta_vrun, 21482, delta_rrun, 21482, prio, 120
[ 4830.771528] tgid, 2250, delta_vrun, 16190, delta_rrun, 16190, prio, 120
[ 4830.853860] tgid, 2250, delta_vrun, 131044, delta_rrun, 131044, prio, 120
[ 4830.933641] tgid, 2250, delta_vrun, 5287, delta_rrun, 5287, prio, 120
[ 4831.635616] tgid, 2043, delta_vrun, 27222, delta_rrun, 253831, prio, 110
[ 4831.843186] tgid, 2043, delta_vrun, 956, delta_rrun, 8914, prio, 110
[ 4831.891390] tgid, 1693, delta_vrun, 203395, delta_rrun, 203395, prio, 120
[ 4831.981455] tgid, 1498, delta_vrun, 36923, delta_rrun, 36923, prio, 120
[ 4831.999594] tgid, 1719, delta_vrun, 47193, delta_rrun, 47193, prio, 94
[ 4832.268008] tgid, 2250, delta_vrun, 6774, delta_rrun, 6774, prio, 120
[ 4832.543869] tgid, 1693, delta_vrun, 20060, delta_rrun, 20060, prio, 120
[ 4832.667556] tgid, 2043, delta_vrun, 237, delta_rrun, 2217, prio, 110
[ 4832.735717] tgid, 2250, delta_vrun, 2554, delta_rrun, 2554, prio, 120
[ 4832.810556] tgid, 2250, delta_vrun, 47929, delta_rrun, 47929, prio, 120
[ 4832.840460] tgid, 2250, delta_vrun, 40233, delta_rrun, 40233, prio, 120
[ 4832.991482] tgid, 1693, delta_vrun, 4432, delta_rrun, 4432, prio, 120
[ 4833.298618] tgid, 1693, delta_vrun, 9379, delta_rrun, 9379, prio, 120
[ 4833.608298] tgid, 2250, delta_vrun, 3116, delta_rrun, 3116, prio, 120
[ 4833.791258] tgid, 2043, delta_vrun, 6492, delta_rrun, 60534, prio, 110
[ 4833.945998] tgid, 2250, delta_vrun, 28402, delta_rrun, 28402, prio, 120
[ 4834.330794] tgid, 1719, delta_vrun, 5305, delta_rrun, 61743, prio, 109
[ 4834.418659] tgid, 2043, delta_vrun, 8689, delta_rrun, 81024, prio, 110
[ 4834.442109] tgid, 2250, delta_vrun, 11901, delta_rrun, 11901, prio, 120
[ 4834.475884] tgid, 2250, delta_vrun, 6660, delta_rrun, 6660, prio, 120
[ 4834.560405] tgid, 1693, delta_vrun, 3082, delta_rrun, 3082, prio, 120
[ 4834.674296] tgid, 2250, delta_vrun, 9916, delta_rrun, 9916, prio, 120
[ 4834.840253] tgid, 2043, delta_vrun, 7043, delta_rrun, 65674, prio, 110
[ 4834.863461] tgid, 2250, delta_vrun, 38021, delta_rrun, 38021, prio, 120
[ 4835.106271] tgid, 2250, delta_vrun, 8612, delta_rrun, 8612, prio, 120
[ 4835.198064] tgid, 2043, delta_vrun, 960, delta_rrun, 8952, prio, 110
[ 4835.477896] tgid, 1693, delta_vrun, 355884, delta_rrun, 355884, prio, 120
[ 4835.519261] tgid, 2043, delta_vrun, 214, delta_rrun, 1998, prio, 110
[ 4835.597353] tgid, 2043, delta_vrun, 6477, delta_rrun, 60398, prio, 110
[ 4835.602185] tgid, 10, delta_vrun, 7059, delta_rrun, 7059, prio, 120
[ 4835.897395] tgid, 2250, delta_vrun, 2901, delta_rrun, 2901, prio, 120
[ 4836.008507] tgid, 2582, delta_vrun, 407634, delta_rrun, 407634, prio, 120
[ 4836.176194] tgid, 2582, delta_vrun, 29887, delta_rrun, 29887, prio, 120
[ 4836.256863] tgid, 1498, delta_vrun, 250592, delta_rrun, 250592, prio, 120
[ 4836.474163] tgid, 2250, delta_vrun, 11124, delta_rrun, 11124, prio, 120
[ 4836.654190] tgid, 2043, delta_vrun, 6437, delta_rrun, 60029, prio, 110
[ 4836.730195] tgid, 2250, delta_vrun, 37699, delta_rrun, 37699, prio, 120
[ 4836.939357] tgid, 2250, delta_vrun, 180440, delta_rrun, 180440, prio, 120
[ 4837.045218] tgid, 2250, delta_vrun, 32555, delta_rrun, 32555, prio, 120
[ 4837.066376] tgid, 2250, delta_vrun, 29612, delta_rrun, 29612, prio, 120
[ 4837.340506] tgid, 2250, delta_vrun, 17486, delta_rrun, 17486, prio, 120
[ 4837.462944] tgid, 1693, delta_vrun, 19073, delta_rrun, 19073, prio, 120
[ 4837.743563] tgid, 2250, delta_vrun, 5073, delta_rrun, 5073, prio, 120
[ 4837.763031] tgid, 2043, delta_vrun, 572, delta_rrun, 5336, prio, 110
[ 4837.827826] tgid, 1693, delta_vrun, 975038, delta_rrun, 975038, prio, 120
[ 4837.947169] tgid, 832, delta_vrun, 30151, delta_rrun, 30151, prio, 120
[ 4838.055637] tgid, 1637, delta_vrun, 21286, delta_rrun, 21286, prio, 120
[ 4838.160851] tgid, 1693, delta_vrun, 7598, delta_rrun, 7598, prio, 120
[ 4838.196431] tgid, 2250, delta_vrun, 5338, delta_rrun, 5338, prio, 120
[ 4838.256374] tgid, 2043, delta_vrun, 12398, delta_rrun, 115602, prio, 110
[ 4838.898680] tgid, 2250, delta_vrun, 6324, delta_rrun, 6324, prio, 120
[ 4838.928431] tgid, 2043, delta_vrun, 58645, delta_rrun, 58645, prio, 89
[ 4838.991761] tgid, 1693, delta_vrun, 3727, delta_rrun, 3727, prio, 120
[ 4839.003034] tgid, 2043, delta_vrun, 105, delta_rrun, 980, prio, 110
[ 4839.095149] tgid, 2250, delta_vrun, 13081, delta_rrun, 13081, prio, 120
[ 4839.096164] tgid, 1693, delta_vrun, 145321, delta_rrun, 145321, prio, 120
[ 4839.235354] tgid, 2043, delta_vrun, 10848, delta_rrun, 101151, prio, 110
[ 4839.261014] tgid, 2250, delta_vrun, 28169, delta_rrun, 28169, prio, 120
[ 4839.509692] tgid, 2250, delta_vrun, 34835, delta_rrun, 34835, prio, 120
[ 4839.621864] tgid, 2043, delta_vrun, 1364, delta_rrun, 12726, prio, 110
[ 4839.856797] tgid, 2043, delta_vrun, 4126, delta_rrun, 38479, prio, 110
[ 4840.078058] tgid, 2250, delta_vrun, 29785, delta_rrun, 29785, prio, 120
[ 4840.230463] tgid, 2582, delta_vrun, 10724, delta_rrun, 10724, prio, 120
[ 4840.378466] tgid, 2043, delta_vrun, 2326, delta_rrun, 21694, prio, 110
[ 4840.562039] tgid, 2582, delta_vrun, 45418, delta_rrun, 45418, prio, 120
[ 4840.666536] tgid, 1693, delta_vrun, 6040, delta_rrun, 6040, prio, 120
[ 4840.818346] tgid, 2250, delta_vrun, 7258, delta_rrun, 7258, prio, 120
[ 4840.855742] tgid, 1498, delta_vrun, 256436, delta_rrun, 256436, prio, 120
[ 4840.951175] tgid, 2250, delta_vrun, 27787, delta_rrun, 27787, prio, 120
[ 4841.618458] tgid, 2582, delta_vrun, 33282, delta_rrun, 33282, prio, 120
[ 4841.843738] tgid, 2250, delta_vrun, 2569, delta_rrun, 2569, prio, 120
[ 4841.987499] tgid, 1693, delta_vrun, 4051, delta_rrun, 4051, prio, 120
[ 4842.413314] tgid, 2250, delta_vrun, 14748, delta_rrun, 14748, prio, 120
[ 4842.523750] tgid, 1693, delta_vrun, 37042, delta_rrun, 37042, prio, 120
[ 4842.628753] tgid, 2043, delta_vrun, 188, delta_rrun, 1755, prio, 110
[ 4842.733332] tgid, 1693, delta_vrun, 2984, delta_rrun, 2984, prio, 120
[ 4842.747253] tgid, 2250, delta_vrun, 4069, delta_rrun, 4069, prio, 120
[ 4842.764216] tgid, 2250, delta_vrun, 41917, delta_rrun, 41917, prio, 120
[ 4842.893975] tgid, 2043, delta_vrun, 2723, delta_rrun, 25398, prio, 110
[ 4842.983200] tgid, 2250, delta_vrun, 19348, delta_rrun, 19348, prio, 120
[ 4843.582168] tgid, 2250, delta_vrun, 35851, delta_rrun, 35851, prio, 120
[ 4843.981096] tgid, 2250, delta_vrun, 8590, delta_rrun, 8590, prio, 120
[ 4843.991640] tgid, 2250, delta_vrun, 22140, delta_rrun, 22140, prio, 120
[ 4844.060835] tgid, 2043, delta_vrun, 3426, delta_rrun, 31947, prio, 110
[ 4844.229585] tgid, 1693, delta_vrun, 2093, delta_rrun, 2093, prio, 120
[ 4844.481730] tgid, 2250, delta_vrun, 19635, delta_rrun, 19635, prio, 120
[ 4844.527542] tgid, 2250, delta_vrun, 2767, delta_rrun, 2767, prio, 120
[ 4844.614408] tgid, 2250, delta_vrun, 88217, delta_rrun, 88217, prio, 120
[ 4844.678580] tgid, 10, delta_vrun, 24936, delta_rrun, 24936, prio, 120
[ 4844.947520] tgid, 2043, delta_vrun, 513, delta_rrun, 4791, prio, 110
[ 4845.020212] tgid, 1693, delta_vrun, 15339, delta_rrun, 15339, prio, 120
[ 4845.402008] tgid, 2250, delta_vrun, 263216, delta_rrun, 263216, prio, 120
[ 4845.403785] tgid, 2043, delta_vrun, 8010, delta_rrun, 74693, prio, 110
[ 4845.404302] tgid, 2043, delta_vrun, 124, delta_rrun, 1160, prio, 110
[ 4845.447741] tgid, 2043, delta_vrun, 326, delta_rrun, 3046, prio, 110
[ 4845.479616] tgid, 2043, delta_vrun, 1337, delta_rrun, 12473, prio, 110
[ 4845.491796] tgid, 1719, delta_vrun, 989, delta_rrun, 11519, prio, 109
[ 4845.761211] tgid, 1498, delta_vrun, 20287, delta_rrun, 20287, prio, 120
[ 4845.780683] tgid, 2250, delta_vrun, 64805, delta_rrun, 64805, prio, 120
[ 4845.822585] tgid, 2250, delta_vrun, 4553, delta_rrun, 4553, prio, 120
[ 4845.828349] tgid, 1693, delta_vrun, 4366, delta_rrun, 4366, prio, 120
[ 4845.847045] tgid, 2250, delta_vrun, 27767, delta_rrun, 27767, prio, 120
[ 4845.883109] tgid, 2250, delta_vrun, 19211, delta_rrun, 19211, prio, 120
[ 4846.325153] tgid, 2043, delta_vrun, 74884, delta_rrun, 698241, prio, 110
[ 4846.385780] tgid, 2250, delta_vrun, 3058, delta_rrun, 3058, prio, 120
[ 4846.824014] tgid, 2250, delta_vrun, 13092, delta_rrun, 13092, prio, 120
[ 4846.890234] tgid, 2043, delta_vrun, 2374, delta_rrun, 22143, prio, 110
[ 4847.062464] tgid, 2582, delta_vrun, 13784, delta_rrun, 13784, prio, 120
[ 4847.250393] tgid, 2250, delta_vrun, 46993, delta_rrun, 46993, prio, 120
[ 4847.251247] tgid, 2582, delta_vrun, 80050, delta_rrun, 80050, prio, 120
[ 4847.331198] tgid, 1693, delta_vrun, 9867, delta_rrun, 9867, prio, 120
[ 4847.657126] tgid, 2250, delta_vrun, 2096, delta_rrun, 2096, prio, 120
[ 4847.658381] tgid, 2250, delta_vrun, 3370, delta_rrun, 3370, prio, 120
[ 4847.986885] tgid, 2043, delta_vrun, 4173, delta_rrun, 38919, prio, 110
[ 4848.086747] tgid, 2043, delta_vrun, 36890, delta_rrun, 343979, prio, 110
[ 4848.167451] tgid, 1693, delta_vrun, 1762, delta_rrun, 1762, prio, 120
[ 4848.488171] tgid, 1719, delta_vrun, 47193, delta_rrun, 47193, prio, 94
[ 4848.518792] tgid, 2582, delta_vrun, 51440, delta_rrun, 51440, prio, 120
[ 4848.588244] tgid, 2582, delta_vrun, 80437, delta_rrun, 80437, prio, 120
[ 4848.599829] tgid, 1693, delta_vrun, 25269, delta_rrun, 25269, prio, 120
[ 4848.618799] tgid, 2043, delta_vrun, 1419, delta_rrun, 13238, prio, 110
[ 4848.810178] tgid, 2043, delta_vrun, 86, delta_rrun, 808, prio, 110
[ 4848.851529] tgid, 2250, delta_vrun, 16654, delta_rrun, 16654, prio, 120
[ 4848.952155] tgid, 2250, delta_vrun, 39446, delta_rrun, 39446, prio, 120
[ 4849.386431] tgid, 2043, delta_vrun, 1757, delta_rrun, 16385, prio, 110
[ 4849.455058] tgid, 2250, delta_vrun, 9516, delta_rrun, 9516, prio, 120
[ 4849.554665] tgid, 2250, delta_vrun, 6956, delta_rrun, 6956, prio, 120
[ 4850.154634] tgid, 2043, delta_vrun, 58645, delta_rrun, 58645, prio, 89
[ 4850.229148] tgid, 2250, delta_vrun, 28948, delta_rrun, 28948, prio, 120
[ 4850.322621] tgid, 2582, delta_vrun, 36445, delta_rrun, 36445, prio, 120
[ 4850.367640] tgid, 1693, delta_vrun, 3359, delta_rrun, 3359, prio, 120
[ 4850.465892] tgid, 1498, delta_vrun, 38455, delta_rrun, 38455, prio, 120
[ 4850.523365] tgid, 2043, delta_vrun, 912, delta_rrun, 8504, prio, 110
[ 4850.643112] tgid, 2043, delta_vrun, 102, delta_rrun, 960, prio, 110
[ 4850.657027] tgid, 2582, delta_vrun, 10534, delta_rrun, 10534, prio, 120
[ 4850.862538] tgid, 1693, delta_vrun, 13558, delta_rrun, 13558, prio, 120
[ 4850.928701] tgid, 2582, delta_vrun, 28527, delta_rrun, 28527, prio, 120
[ 4850.955186] tgid, 2250, delta_vrun, 11054, delta_rrun, 11054, prio, 120
[ 4850.995123] tgid, 2250, delta_vrun, 27445, delta_rrun, 27445, prio, 120
[ 4851.395053] tgid, 2250, delta_vrun, 12967, delta_rrun, 12967, prio, 120
[ 4851.921694] tgid, 2250, delta_vrun, 60207, delta_rrun, 60207, prio, 120
[ 4851.958722] tgid, 2250, delta_vrun, 12105, delta_rrun, 12105, prio, 120
[ 4852.060780] tgid, 2250, delta_vrun, 24883, delta_rrun, 24883, prio, 120
[ 4852.066276] tgid, 1693, delta_vrun, 2495, delta_rrun, 2495, prio, 120
[ 4852.461938] tgid, 2582, delta_vrun, 44655, delta_rrun, 44655, prio, 120
[ 4852.624875] tgid, 2582, delta_vrun, 23474, delta_rrun, 23474, prio, 120
[ 4852.692155] tgid, 2250, delta_vrun, 36298, delta_rrun, 36298, prio, 120
[ 4852.824322] tgid, 2043, delta_vrun, 4219, delta_rrun, 39346, prio, 110
[ 4852.910083] tgid, 1693, delta_vrun, 3279, delta_rrun, 3279, prio, 120
[ 4853.053643] tgid, 2043, delta_vrun, 799, delta_rrun, 7452, prio, 110
[ 4853.122973] tgid, 2250, delta_vrun, 3239, delta_rrun, 3239, prio, 120
[ 4853.246286] tgid, 1693, delta_vrun, 135636, delta_rrun, 135636, prio, 120
[ 4853.254227] tgid, 2250, delta_vrun, 5973, delta_rrun, 5973, prio, 120
[ 4853.327073] tgid, 2250, delta_vrun, 4732, delta_rrun, 4732, prio, 120
[ 4853.387208] tgid, 2043, delta_vrun, 4273, delta_rrun, 39847, prio, 110
[ 4853.458289] tgid, 10, delta_vrun, 4040, delta_rrun, 4040, prio, 120
[ 4853.673868] tgid, 2043, delta_vrun, 928, delta_rrun, 8655, prio, 110
[ 4853.859326] tgid, 2250, delta_vrun, 16117, delta_rrun, 16117, prio, 120
[ 4853.992117] tgid, 2043, delta_vrun, 371, delta_rrun, 3463, prio, 110
[ 4854.118875] tgid, 2550, delta_vrun, 22275, delta_rrun, 22275, prio, 120
[ 4854.393095] tgid, 2250, delta_vrun, 31292, delta_rrun, 31292, prio, 120
[ 4854.463061] tgid, 2250, delta_vrun, 12440, delta_rrun, 12440, prio, 120
[ 4854.892270] tgid, 2250, delta_vrun, 3895, delta_rrun, 3895, prio, 120
[ 4855.324835] tgid, 2250, delta_vrun, 44057, delta_rrun, 44057, prio, 120
[ 4855.477160] tgid, 1693, delta_vrun, 11112, delta_rrun, 11112, prio, 120
[ 4855.541310] tgid, 1693, delta_vrun, 4200, delta_rrun, 4200, prio, 120
[ 4855.575856] tgid, 1693, delta_vrun, 423137, delta_rrun, 423137, prio, 120
[ 4855.619601] tgid, 2043, delta_vrun, 3049, delta_rrun, 28437, prio, 110
[ 4855.664873] tgid, 1498, delta_vrun, 78498, delta_rrun, 78498, prio, 120
[ 4855.697477] tgid, 2250, delta_vrun, 2730, delta_rrun, 2730, prio, 120
[ 4856.059584] tgid, 2250, delta_vrun, 4968, delta_rrun, 4968, prio, 120
[ 4856.084865] tgid, 2250, delta_vrun, 34080, delta_rrun, 34080, prio, 120
